Wall time,Step,Value
1584450435.349564,1,1.6143385171890259
1584450446.22608,2,1.1267106533050537
1584450457.2393365,3,0.9072732925415039
1584450468.027898,4,0.7820706367492676
1584450478.9226604,5,0.6885313391685486
1584450490.008942,6,0.6527442932128906
1584450500.7827609,7,0.592572033405304
1584450511.6673694,8,0.5610482692718506
1584450522.7729244,9,0.5486739277839661
1584450533.8520238,10,0.5167348980903625
1584450544.710668,11,0.5182947516441345
1584450555.872388,12,0.48813608288764954
1584450567.2336137,13,0.4808385968208313
1584450578.507758,14,0.46426835656166077
1584450589.8312051,15,0.46467116475105286
1584450600.9126697,16,0.451371431350708
1584450612.1807513,17,0.4431915879249573
1584450623.3101263,18,0.4296509325504303
1584450634.4903882,19,0.41727709770202637
1584450645.596187,20,0.41904306411743164
1584450656.7607121,21,0.41645243763923645
1584450667.9096906,22,0.4011727273464203
1584450678.7556515,23,0.4057616889476776
1584450689.673697,24,0.403652161359787
1584450700.7989066,25,0.39898839592933655
1584450712.0279365,26,0.39164647459983826
1584450723.0171232,27,0.3941352069377899
1584450733.991292,28,0.38384556770324707
1584450744.9543905,29,0.3794192969799042
1584450756.0300744,30,0.3780471682548523
1584450767.4725845,31,0.37597718834877014
1584450778.6912596,32,0.37717577815055847
1584450789.9529984,33,0.3678309917449951
1584450801.3043494,34,0.36380302906036377
1584450812.11388,35,0.3597313165664673
1584450823.1614525,36,0.3709777891635895
1584450834.2236748,37,0.35697123408317566
1584450845.6059928,38,0.35943615436553955
1584450856.4097793,39,0.35555440187454224
1584450867.2866764,40,0.3615732789039612
1584450878.1542513,41,0.35896334052085876
1584450889.2373457,42,0.346949964761734
1584450900.4100966,43,0.35948461294174194
1584450911.5588064,44,0.3443382978439331
1584450922.83467,45,0.3412902355194092
1584450934.0830762,46,0.3450993299484253
1584450945.478666,47,0.3373750150203705
1584450956.9479973,48,0.3403053879737854
1584450968.0309782,49,0.34004920721054077
1584450978.971744,50,0.33576294779777527
1584450990.2167425,51,0.33058106899261475
1584451001.5825603,52,0.33259662985801697
1584451012.7234445,53,0.33902275562286377
1584451023.427054,54,0.3326546549797058
1584451034.7991815,55,0.3298974633216858
1584451045.691172,56,0.3341011703014374
1584451056.7282357,57,0.3262127637863159
1584451067.859312,58,0.32221511006355286
1584451079.2340577,59,0.3220130205154419
1584451090.7343125,60,0.32856616377830505
1584451101.9007444,61,0.33004119992256165
1584451112.9737065,62,0.32790058851242065
1584451124.1533449,63,0.3300513029098511
1584451135.2660878,64,0.32384973764419556
1584451146.3979473,65,0.33296725153923035
1584451157.838185,66,0.323029100894928
1584451168.9858341,67,0.32602182030677795
1584451180.354965,68,0.3223096430301666
1584451191.4481187,69,0.32386282086372375
1584451202.7223608,70,0.3184325695037842
1584451213.766347,71,0.32228878140449524
1584451225.0480325,72,0.3076450824737549
1584451236.414758,73,0.3170764446258545
1584451247.483592,74,0.3243238627910614
1584451258.8707626,75,0.3227041959762573
1584451270.005623,76,0.3124043047428131
1584451281.3572571,77,0.31670618057250977
1584451292.8253348,78,0.3115544319152832
1584451304.0306506,79,0.31663376092910767
1584451315.321255,80,0.31084129214286804
1584451326.8015811,81,0.31589120626449585
1584451338.0677018,82,0.32184433937072754
1584451349.428031,83,0.3180527985095978
1584451360.5533853,84,0.31421011686325073
1584451371.5811903,85,0.30387696623802185
1584451382.3574848,86,0.3087976574897766
1584451394.0675094,87,0.3142923414707184
1584451404.9827368,88,0.3095845878124237
1584451416.398754,89,0.30670636892318726
1584451428.0403173,90,0.30793577432632446
1584451439.001355,91,0.31554850935935974
1584451450.3812003,92,0.30078625679016113
1584451461.0598905,93,0.30241602659225464
1584451472.103867,94,0.3137096166610718
1584451483.3354592,95,0.3017131984233856
1584451494.5358467,96,0.3076897859573364
1584451505.6665044,97,0.3095734119415283
1584451516.5918064,98,0.3085784316062927
1584451527.974435,99,0.301445335149765
1584451539.5080442,100,0.306160032749176
1584451550.5407581,101,0.30705317854881287
1584451561.9523895,102,0.21234768629074097
1584451573.1674025,103,0.1698831170797348
1584451584.4277847,104,0.1581573635339737
1584451595.685294,105,0.14376623928546906
1584451607.1167307,106,0.14033453166484833
1584451618.2654376,107,0.13458986580371857
1584451629.3704965,108,0.13010276854038239
1584451640.4041078,109,0.12019788473844528
1584451651.7453027,110,0.11265820264816284
1584451663.1283617,111,0.11392681300640106
1584451673.9683092,112,0.1067480593919754
1584451685.47096,113,0.10497919470071793
1584451696.6964035,114,0.09962224960327148
1584451707.7336268,115,0.09627939760684967
1584451718.8891523,116,0.09397334605455399
1584451729.8701658,117,0.09054114669561386
1584451741.4534228,118,0.08620697259902954
1584451752.826208,119,0.08851375430822372
1584451763.9407742,120,0.08577605336904526
1584451774.9438548,121,0.08237527310848236
1584451786.375271,122,0.08374380320310593
1584451797.704896,123,0.08067362010478973
1584451809.1536226,124,0.08016649633646011
1584451820.729678,125,0.07512525469064713
1584451831.8872693,126,0.0746486708521843
1584451842.9159129,127,0.07515507191419601
1584451853.8583906,128,0.07138713449239731
1584451864.9408498,129,0.07336696237325668
1584451876.4880204,130,0.06939194351434708
1584451888.1206036,131,0.06729377061128616
1584451899.7498107,132,0.06897749751806259
1584451911.0040536,133,0.06646706908941269
1584451922.4100273,134,0.06959573179483414
1584451933.5280457,135,0.0645429864525795
1584451944.5816598,136,0.06614309549331665
1584451955.97261,137,0.06590205430984497
1584451967.3413084,138,0.06203725188970566
1584451978.7371752,139,0.06320735067129135
1584451989.6640053,140,0.06132860854268074
1584452001.12741,141,0.06233726814389229
1584452012.20962,142,0.061376433819532394
1584452023.4039407,143,0.0610920786857605
1584452034.5227172,144,0.05829606205224991
1584452045.7082174,145,0.06277108937501907
1584452056.976907,146,0.06017839163541794
1584452068.2709053,147,0.05855962261557579
1584452079.957156,148,0.0567522868514061
1584452091.0269506,149,0.060166191309690475
1584452102.296852,150,0.0614703930914402
1584452113.4207356,151,0.06370123475790024
1584452124.6236563,152,0.0581158772110939
1584452135.5028563,153,0.047309760004282
1584452146.3610318,154,0.04071435704827309
1584452157.8123524,155,0.03675829991698265
1584452168.7339807,156,0.035488635301589966
1584452179.763879,157,0.03316100314259529
1584452190.9797864,158,0.03303990513086319
1584452202.0291896,159,0.03224512189626694
1584452213.625796,160,0.032037120312452316
1584452225.0833719,161,0.02972225286066532
1584452236.4000044,162,0.028630107641220093
1584452247.5010524,163,0.029918765649199486
1584452258.9678612,164,0.02912769839167595
1584452269.966629,165,0.02934158593416214
1584452281.1568322,166,0.028849754482507706
1584452292.230604,167,0.027392204850912094
1584452303.5783923,168,0.026289794594049454
1584452314.6181965,169,0.026514127850532532
1584452325.7902234,170,0.02726665884256363
1584452336.8069222,171,0.026581423357129097
1584452348.195586,172,0.026346992701292038
1584452359.1855786,173,0.026257608085870743
1584452370.317157,174,0.025835510343313217
1584452381.5947568,175,0.0249466672539711
1584452392.8263578,176,0.024859998375177383
1584452403.8928945,177,0.02521495893597603
1584452415.4080696,178,0.023791875690221786
1584452427.1920404,179,0.024806329980492592
1584452438.4694746,180,0.024153320118784904
1584452449.649473,181,0.02555544674396515
1584452460.8743696,182,0.023791566491127014
1584452472.1562715,183,0.02410329319536686
1584452483.4222486,184,0.02304791286587715
1584452494.611392,185,0.023748571053147316
1584452505.865579,186,0.022964023053646088
1584452517.1068268,187,0.02270248904824257
1584452528.0830064,188,0.023515230044722557
1584452539.2489643,189,0.023663634434342384
1584452550.5514786,190,0.02353738434612751
1584452561.8181407,191,0.022567421197891235
1584452572.9471803,192,0.023195737972855568
1584452583.9463513,193,0.021840889006853104
1584452594.967765,194,0.022219043225049973
1584452606.1649036,195,0.022605661302804947
1584452617.3842933,196,0.021950755268335342
1584452628.519181,197,0.02196360006928444
1584452640.1505346,198,0.02204124443233013
